0001,The Fellowship of the Ring,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823112-6,Unwin Books,High Fantasy,
0002,The Two Towers,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823113-4,Unwin Books,High Fantasy,
0003,The Return of the King,The Lord of the Rings,J.R.R Tolkien,1974,3,2,0-04-823114-2,Unwin Books,High Fantasy,
0004,The Hobbit,,J.R.R Tolkien,2008,5,4,978-0-00-727061-3,HarperCollinsPublishers,High Fantasy,
0005,Tales from the Perilous Realm,,J.R.R Tolkien,2008,2,1,978-0-00-725754-6,HarperCollinsPublishers,High Fantasy,
0006,The Silmarillion,,J.R.R Tolkien,2008,4,1,978-0-00-728424-5,HarperCollinsPublishers,High Fantasy,
0007,The Children of Húrin,,J.R.R Tolkien,2008,2,6,978-0-00-725226-8,HarperCollinsPublishers,High Fantasy,
0008,The Lays of Beleriand,The History of Middle-Earth,J.R.R Tolkien,2002,2,13,0-261-10226-5,HarperCollinsPublishers,High Fantasy,
0009,The Book of Lost Tales II,The History of Middle-Earth,J.R.R Tolkien,2002,2,19,978-0-261-10214-9,HarperCollinsPublishers,High Fantasy,
0010,The Book of Lost Tales I,The History of Middle-Earth,J.R.R Tolkien,2002,2,23,0-261-10222-2,HarperCollinsPublishers,High Fantasy,
0011,Unfinished Tales,,J.R.R Tolkien,1998,2,28,978-0-261-10362-7,HarperCollinsPublishers,High Fantasy,
0012,The Legend of Sigurd & Gudrún,,J.R.R Tolkien,2010,2,1,978-0-00-731724-0,HarperCollinsPublishers,Fantasy Fiction,
0013,Beowulf,,J.R.R Tolkien,2014,1,1,978-0-00-759006-3,HarperCollinsPublishers,Epic Poetry,
0014,The Silmarillion,,J.R.R Tolkien,1977,1,2,0-04-823139,George Allen & Unwin,High Fantasy,
0015,The Fall of Arthur,,J.R.R Tolkien,2013,1,1,978-0-00-748994-7,HarperCollinsPublishers,Arthurian Legend,
0016,A Tolkien Bestiary,,David Day,,,,0-85533-414-2,Mitchell Beazley Publishers Ltd.,Reference,
0017,The Lord of the Rings Weapons and Warfare,,Chris Smith,2003,1,1,0-00-717201-X,HarperCollinsPublishers,Reference,
0018,The Lord of the Rings the Return of the King Photo Guide,,,2003,1,1,0-00-717056-4,HarperCollinsPublishers,Reference,
0019,The Complete Grinm's Fairy Tales,,Jacob Grimm/Wilhelm Grimm,2013,,6,978-1-937994-31-0,Race Point Publishing,Fairy Tales,
0020,Total War Rome Destroy Carthage,,David Gibbins,2013,1,1,978-0-230-77096-6,Macmillan,Fiction,
0021,King Arthur and the Knights of the Round Table,,Antonia Pakenham,1954,1,1,,Heirloom Library Ltd.,Arthurian Legend,
0022,Master of Middle-Earth the Achievement of J.R.R Tolkien,,Paul Kocher,1973,2,1,0-500-01095-1,Thames and Hudson Ltd.,Reference,
0023,Don't Call Me Ishmael,,Michael Gerard Bauer,2007,2,1,978-1-86291-766-8,Omnibus Books,Nonfiction,
0024,Dune,,Frank Herbert,2007,2,4,978-0-57508-1-505,Gollancz,Young Adult Fiction,
0025,The Complete Guide to Middle-Earth,,Robert Foster,1989,2,7,0-04-803001-5,Unwin Hyman Ltd.,Reference,
0026,Letters from Father Christmas,,J.R.R Tolkien,2009,,1,978-0-00-728049-0,HarperCollinsPublishers,Fantasy,
0027,Paper Towns,,John Green,2009,2,13,978-0-7322-8900-3,Angus&Robertson,Young Adult Fiction,
0028,An Abundance of Katherines,,John Green,2013,2,23,978-0-141-34609-0,Penguin Group,Young Adult Fiction,
0029,Private Peaceful,,Michael Morpurgo,2004,2,24,978-0-00-7150076,HarperCollinsPublishers,War Story,
0030,Lord of the Flies,,William Golding,1996,2,2,978-0-571-05686-6,Faber and Faber,Fiction,
0031,The Outsider,,Albert Camus,2000,3,30,978-0-141-18250-6,Penguin Group,Young Adult Fiction,
0032,Perfume,,Patrick Suskind,2003,3,60,978-0-14-012083-7,Penguin Group,Fiction,
0033,All Quiet on the Western Front,,Erich Maria Remarque,1996,3,25,978-0-09-953281-1,Vintage,War Story,
0034,A Clockwork Orange,,Anthony Burgess,2000,4,28,978-0-141-18260-5,,Science Fiction,
0035,Coraline,,Neil Gaiman,2002,1,1,0-7475-5878-7,Bloomsbury Publishing Plc.,Fantasy,
0036,The Quest of the Holy Grail,,,1969,1,1,,Penguin Group,Arthurian Legend,
